Data Point,Subject,Source,Dates
Traffic Related Deaths and Serious Injuries: Time of Day,Safety,"Washington Traffic Safety Commission Coded Fatality Files, WSDOT, Crash Data Division, Multi-Row data files (MRFF)",2010 - 2024
Traffic Related Deaths and Serious Injuries: Day of Week,Safety,"Washington Traffic Safety Commission Coded Fatality Files, WSDOT, Crash Data Division, Multi-Row data files (MRFF)",2010 - 2024
"Population, Housing Units and Jobs: Region",Growth,"OFM April 1 Official Estimates for King, Kitsap, Pierce & Snohomish counties and VISION 2050 Regional Growth Strategy",2010-2050
"Population, Housing Units and Jobs: Near High Capacity Transit",Growth,"Office of Financial Management SAEP Program, PSRC Parcelization and Washington State Employment Securities Division QCEW",2010-2024
Annual Transit Boarding & Revenue-Hours: Region,Transit,FTA National Transit Database and PSRC SoundCast Activity Based Model,2002-2050
Year to Date Transit Boardings: Mode,Transit,FTA National Transit Database ,2019-2025
Transit Boardings: Metropolitan Regions,Transit,FTA National Transit Database ,"2019, 2025"
Transit Mode to Work: County,Transit,"ACS 5yr Data Table B08301 for King, Kitsap, Pierce and Snohomish counties","2014, 2019, 2024"
Transit Mode to Work: Race and Ethnicity,Transit,"US Census Bureau 5-yr PUMS Variable JWTRNS for King, Kitsap, Pierce and Snohomish counties","2014, 2019, 2024"
Transit Mode to Work: Metro Areas,Transit,ACS 5yr Data Table B08301 by county in each metro region,"2014, 2019, 2024"
Transit Mode to Work: City,Transit,"ACS 5yr Data Table B08301 by place in King, Kitsap, Pierce and Snohomish counties.","2014, 2019, 2024"
Walk to Work: County,Walk & Bike,"ACS 5yr Data Table B08301 for King, Kitsap, Pierce and Snohomish counties","2014, 2019, 2024"
Walk to Work: Race and Ethnicity,Walk & Bike,"US Census Bureau 5-yr PUMS Variable JWTRNS for King, Kitsap, Pierce and Snohomish counties","2014, 2019, 2024"
Walk to Work: Metro Areas,Walk & Bike,ACS 5yr Data Table B08301 by county in each metro region,"2014, 2019, 2024"
Walk to Work: City,Walk & Bike,"ACS 5yr Data Table B08301 by place in King, Kitsap, Pierce and Snohomish counties.","2014, 2019, 2024"
Bike to Work: County,Walk & Bike,"ACS 5yr Data Table B08301 for King, Kitsap, Pierce and Snohomish counties","2014, 2019, 2024"
Bike to Work: Race and Ethnicity,Walk & Bike,"US Census Bureau 5-yr PUMS Variable JWTRNS for King, Kitsap, Pierce and Snohomish counties","2014, 2019, 2024"
Bike to Work: Metro Areas,Walk & Bike,ACS 5yr Data Table B08301 by county in each metro region,"2014, 2019, 2024"
Bike to Work: City,Walk & Bike,"ACS 5yr Data Table B08301 by place in King, Kitsap, Pierce and Snohomish counties.","2014, 2019, 2024"
Mean Travel Time to Work: County,Travel Time,"US Census Bureau 5-yr PUMS Variable JWMNP for King, Kitsap, Pierce and Snohomish counties","2014, 2019, 2024"
Hour or more Commute: Race & Ethnicity,Travel Time,"US Census Bureau 5-yr PUMS Variable JWMNP for King, Kitsap, Pierce and Snohomish counties","2014, 2019, 2024"
Hour or more Commute: Metro Areas,Travel Time,ACS 5yr Data Table B08303 by county in each metro region,"2014, 2019, 2024"
Hour or more Commute: City,Travel Time,ACS 5yr Data Table B08303 by county in each metro region,"2014, 2019, 2024"
Early Morning Departure Time to Work: County,Travel Time,"US Census Bureau 5-yr PUMS Variable JWDP for King, Kitsap, Pierce and Snohomish counties","2014, 2019, 2024"
Early Morning Departure Time to Work: Race and Ethnicity,Travel Time,"US Census Bureau 5-yr PUMS Variable JWDP for King, Kitsap, Pierce and Snohomish counties","2014, 2019, 2024"
Early Morning Departure Time to Work: Metro Areas,Travel Time,ACS 5yr Data Table B08011 by county in each metro region,"2014, 2019, 2024"
Early Morning Departure Time to Work: City,Travel Time,ACS 5yr Data Table B08011,"2014, 2019, 2024"
NHS Congestion by Time Period: Region,Travel Time,National Performance Management Research Data Set (NPMRDS),2018-2026
NHS Congestion by AM & PM Peak Period: Facility,Travel Time,National Performance Management Research Data Set (NPMRDS),January 1 - January 31st  2026
