geography,variable,metric,data_year,estimate,geography_type,moe,share,share_moe,grouping
Community Transit,Bus,Transit Boardings,2005,7852970,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Revenue-Miles,2005,8130788,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Revenue-Hours,2005,375861,PSRC Region,0,0,0,All
Community Transit,Bus,boardings_per_hour,2005,20.89,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Boardings,2006,8434475,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Revenue-Miles,2006,8178086,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Revenue-Hours,2006,489065,PSRC Region,0,0,0,All
Community Transit,Bus,boardings_per_hour,2006,17.25,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Boardings,2007,9097790,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Revenue-Miles,2007,8242239,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Revenue-Hours,2007,499993,PSRC Region,0,0,0,All
Community Transit,Bus,boardings_per_hour,2007,18.2,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Boardings,2008,10237303,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Revenue-Miles,2008,8337392,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Revenue-Hours,2008,508715,PSRC Region,0,0,0,All
Community Transit,Bus,boardings_per_hour,2008,20.12,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Boardings,2009,9693379,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Revenue-Miles,2009,8548518,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Revenue-Hours,2009,518085,PSRC Region,0,0,0,All
Community Transit,Bus,boardings_per_hour,2009,18.71,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Boardings,2010,8639190,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Revenue-Miles,2010,8507434,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Revenue-Hours,2010,495078,PSRC Region,0,0,0,All
Community Transit,Bus,boardings_per_hour,2010,17.45,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Boardings,2011,8548824,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Revenue-Miles,2011,7629222,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Revenue-Hours,2011,456252,PSRC Region,0,0,0,All
Community Transit,Bus,boardings_per_hour,2011,18.74,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Boardings,2012,7978200,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Revenue-Miles,2012,6055621,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Revenue-Hours,2012,356873,PSRC Region,0,0,0,All
Community Transit,Bus,boardings_per_hour,2012,22.36,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Boardings,2013,7980463,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Revenue-Miles,2013,5948255,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Revenue-Hours,2013,356755,PSRC Region,0,0,0,All
Community Transit,Bus,boardings_per_hour,2013,22.37,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Boardings,2014,8696318,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Revenue-Miles,2014,6099668,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Revenue-Hours,2014,377352,PSRC Region,0,0,0,All
Community Transit,Bus,boardings_per_hour,2014,23.05,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Boardings,2015,8935227,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Revenue-Miles,2015,6636979,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Revenue-Hours,2015,412572,PSRC Region,0,0,0,All
Community Transit,Bus,boardings_per_hour,2015,21.66,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Boardings,2016,9190047,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Revenue-Miles,2016,7103248,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Revenue-Hours,2016,454893,PSRC Region,0,0,0,All
Community Transit,Bus,boardings_per_hour,2016,20.2,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Boardings,2017,9303686,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Revenue-Miles,2017,7621983,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Revenue-Hours,2017,501971,PSRC Region,0,0,0,All
Community Transit,Bus,boardings_per_hour,2017,18.53,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Boardings,2018,9578174,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Revenue-Miles,2018,8020290,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Revenue-Hours,2018,526647,PSRC Region,0,0,0,All
Community Transit,Bus,boardings_per_hour,2018,18.19,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Boardings,2019,10078860,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Revenue-Miles,2019,8744280,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Revenue-Hours,2019,584834,PSRC Region,0,0,0,All
Community Transit,Bus,boardings_per_hour,2019,17.23,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Boardings,2020,5305854,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Revenue-Miles,2020,7756117,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Revenue-Hours,2020,504234,PSRC Region,0,0,0,All
Community Transit,Bus,boardings_per_hour,2020,10.52,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Boardings,2021,4561491,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Revenue-Miles,2021,8058437,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Revenue-Hours,2021,511761,PSRC Region,0,0,0,All
Community Transit,Bus,boardings_per_hour,2021,8.91,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Boardings,2022,4003428,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Revenue-Miles,2022,5779511,PSRC Region,0,0,0,All
Community Transit,Bus,Transit Revenue-Hours,2022,363046,PSRC Region,0,0,0,All
Community Transit,Bus,boardings_per_hour,2022,11.03,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Boardings,2002,652093,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Revenue-Miles,2002,17171644,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Revenue-Hours,2002,61393,PSRC Region,0,0,0,All
Community Transit,Vanpool,boardings_per_hour,2002,10.62,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Boardings,2003,594380,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Revenue-Miles,2003,15927270,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Revenue-Hours,2003,56795,PSRC Region,0,0,0,All
Community Transit,Vanpool,boardings_per_hour,2003,10.47,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Boardings,2004,573042,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Revenue-Miles,2004,15091783,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Revenue-Hours,2004,54968,PSRC Region,0,0,0,All
Community Transit,Vanpool,boardings_per_hour,2004,10.43,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Boardings,2005,646846,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Revenue-Miles,2005,3403607,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Revenue-Hours,2005,61468,PSRC Region,0,0,0,All
Community Transit,Vanpool,boardings_per_hour,2005,10.52,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Boardings,2006,724815,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Revenue-Miles,2006,3891185,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Revenue-Hours,2006,70772,PSRC Region,0,0,0,All
Community Transit,Vanpool,boardings_per_hour,2006,10.24,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Boardings,2007,738427,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Revenue-Miles,2007,4116036,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Revenue-Hours,2007,73989,PSRC Region,0,0,0,All
Community Transit,Vanpool,boardings_per_hour,2007,9.98,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Boardings,2008,855502,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Revenue-Miles,2008,4815590,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Revenue-Hours,2008,86794,PSRC Region,0,0,0,All
Community Transit,Vanpool,boardings_per_hour,2008,9.86,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Boardings,2009,862583,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Revenue-Miles,2009,4623432,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Revenue-Hours,2009,84346,PSRC Region,0,0,0,All
Community Transit,Vanpool,boardings_per_hour,2009,10.23,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Boardings,2010,843638,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Revenue-Miles,2010,4471836,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Revenue-Hours,2010,81711,PSRC Region,0,0,0,All
Community Transit,Vanpool,boardings_per_hour,2010,10.32,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Boardings,2011,892936,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Revenue-Miles,2011,4719217,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Revenue-Hours,2011,155120,PSRC Region,0,0,0,All
Community Transit,Vanpool,boardings_per_hour,2011,5.76,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Boardings,2012,920252,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Revenue-Miles,2012,4906497,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Revenue-Hours,2012,150057,PSRC Region,0,0,0,All
Community Transit,Vanpool,boardings_per_hour,2012,6.13,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Boardings,2013,927660,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Revenue-Miles,2013,4857847,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Revenue-Hours,2013,148411,PSRC Region,0,0,0,All
Community Transit,Vanpool,boardings_per_hour,2013,6.25,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Boardings,2014,924912,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Revenue-Miles,2014,4817218,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Revenue-Hours,2014,147749,PSRC Region,0,0,0,All
Community Transit,Vanpool,boardings_per_hour,2014,6.26,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Boardings,2015,912637,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Revenue-Miles,2015,4711901,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Revenue-Hours,2015,143209,PSRC Region,0,0,0,All
Community Transit,Vanpool,boardings_per_hour,2015,6.37,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Boardings,2016,867776,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Revenue-Miles,2016,4586434,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Revenue-Hours,2016,141557,PSRC Region,0,0,0,All
Community Transit,Vanpool,boardings_per_hour,2016,6.13,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Boardings,2017,861372,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Revenue-Miles,2017,4557911,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Revenue-Hours,2017,140624,PSRC Region,0,0,0,All
Community Transit,Vanpool,boardings_per_hour,2017,6.13,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Boardings,2018,869370,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Revenue-Miles,2018,4595894,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Revenue-Hours,2018,144352,PSRC Region,0,0,0,All
Community Transit,Vanpool,boardings_per_hour,2018,6.02,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Boardings,2019,823759,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Revenue-Miles,2019,4712129,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Revenue-Hours,2019,148683,PSRC Region,0,0,0,All
Community Transit,Vanpool,boardings_per_hour,2019,5.54,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Boardings,2020,302038,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Revenue-Miles,2020,2068568,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Revenue-Hours,2020,64978,PSRC Region,0,0,0,All
Community Transit,Vanpool,boardings_per_hour,2020,4.65,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Boardings,2021,227847,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Revenue-Miles,2021,1582130,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Revenue-Hours,2021,48425,PSRC Region,0,0,0,All
Community Transit,Vanpool,boardings_per_hour,2021,4.71,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Boardings,2022,205419,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Revenue-Miles,2022,1447643,PSRC Region,0,0,0,All
Community Transit,Vanpool,Transit Revenue-Hours,2022,42366,PSRC Region,0,0,0,All
Community Transit,Vanpool,boardings_per_hour,2022,4.85,PSRC Region,0,0,0,All
County of Pierce,Ferry,Transit Boardings,2003,197979,PSRC Region,0,0,0,All
County of Pierce,Ferry,Transit Revenue-Miles,2003,31045,PSRC Region,0,0,0,All
County of Pierce,Ferry,Transit Revenue-Hours,2003,4927,PSRC Region,0,0,0,All
County of Pierce,Ferry,boardings_per_hour,2003,40.18,PSRC Region,0,0,0,All
County of Pierce,Ferry,Transit Boardings,2005,212572,PSRC Region,0,0,0,All
County of Pierce,Ferry,Transit Revenue-Miles,2005,40674,PSRC Region,0,0,0,All
County of Pierce,Ferry,Transit Revenue-Hours,2005,5735,PSRC Region,0,0,0,All
County of Pierce,Ferry,boardings_per_hour,2005,37.07,PSRC Region,0,0,0,All
County of Pierce,Ferry,Transit Boardings,2006,212011,PSRC Region,0,0,0,All
County of Pierce,Ferry,Transit Revenue-Miles,2006,40194,PSRC Region,0,0,0,All
County of Pierce,Ferry,Transit Revenue-Hours,2006,5655,PSRC Region,0,0,0,All
County of Pierce,Ferry,boardings_per_hour,2006,37.49,PSRC Region,0,0,0,All
County of Pierce,Ferry,Transit Boardings,2007,196094,PSRC Region,0,0,0,All
County of Pierce,Ferry,Transit Revenue-Miles,2007,40900,PSRC Region,0,0,0,All
County of Pierce,Ferry,Transit Revenue-Hours,2007,5725,PSRC Region,0,0,0,All
County of Pierce,Ferry,boardings_per_hour,2007,34.25,PSRC Region,0,0,0,All
County of Pierce,Ferry,Transit Boardings,2008,192528,PSRC Region,0,0,0,All
County of Pierce,Ferry,Transit Revenue-Miles,2008,39794,PSRC Region,0,0,0,All
County of Pierce,Ferry,Transit Revenue-Hours,2008,5749,PSRC Region,0,0,0,All
County of Pierce,Ferry,boardings_per_hour,2008,33.49,PSRC Region,0,0,0,All
County of Pierce,Ferry,Transit Boardings,2009,201366,PSRC Region,0,0,0,All
County of Pierce,Ferry,Transit Revenue-Miles,2009,40080,PSRC Region,0,0,0,All
County of Pierce,Ferry,Transit Revenue-Hours,2009,5746,PSRC Region,0,0,0,All
County of Pierce,Ferry,boardings_per_hour,2009,35.04,PSRC Region,0,0,0,All
County of Pierce,Ferry,Transit Boardings,2010,199261,PSRC Region,0,0,0,All
County of Pierce,Ferry,Transit Revenue-Miles,2010,40430,PSRC Region,0,0,0,All
County of Pierce,Ferry,Transit Revenue-Hours,2010,5637,PSRC Region,0,0,0,All
County of Pierce,Ferry,boardings_per_hour,2010,35.35,PSRC Region,0,0,0,All
County of Pierce,Ferry,Transit Boardings,2011,192570,PSRC Region,0,0,0,All
County of Pierce,Ferry,Transit Revenue-Miles,2011,35046,PSRC Region,0,0,0,All
County of Pierce,Ferry,Transit Revenue-Hours,2011,5743,PSRC Region,0,0,0,All
County of Pierce,Ferry,boardings_per_hour,2011,33.53,PSRC Region,0,0,0,All
County of Pierce,Ferry,Transit Boardings,2012,183432,PSRC Region,0,0,0,All
County of Pierce,Ferry,Transit Revenue-Miles,2012,41118,PSRC Region,0,0,0,All
County of Pierce,Ferry,Transit Revenue-Hours,2012,5756,PSRC Region,0,0,0,All
County of Pierce,Ferry,boardings_per_hour,2012,31.87,PSRC Region,0,0,0,All
County of Pierce,Ferry,Transit Boardings,2013,182838,PSRC Region,0,0,0,All
County of Pierce,Ferry,Transit Revenue-Miles,2013,41313,PSRC Region,0,0,0,All
County of Pierce,Ferry,Transit Revenue-Hours,2013,5839,PSRC Region,0,0,0,All
County of Pierce,Ferry,boardings_per_hour,2013,31.31,PSRC Region,0,0,0,All
County of Pierce,Ferry,Transit Boardings,2014,191188,PSRC Region,0,0,0,All
County of Pierce,Ferry,Transit Revenue-Miles,2014,41474,PSRC Region,0,0,0,All
County of Pierce,Ferry,Transit Revenue-Hours,2014,5839,PSRC Region,0,0,0,All
