process,project_id,sponsor,title,funding_request,phase,category,funded,center,access,equity,safety,climate,waehd,readiness,total_points,description
STP,1,Arlington,180th Street Connector,5000000,PE/Design & Construction,Manufacturing / Industrial Center,No,10,17,4,7,5,,3,46,"This project, the 180th St Connector, proposes to design and construct a new road that will provide access to the west side of the Arlington Airport, a fast growing industrial area located in the Cascade Industrial Center. The 180th St Connector will have an E-W alignment connecting to Airport Blvd on the east with a roundabout, and to Smokey Point Blvd on the west with a traditional stop-controlled intersection. The Smokey Point Blvd and 180th St intersection is planned to be a roundabout in the future. This new road will consist of two travel lanes and grade separated pedestrian facilities, a 5-foot wide sidewalk on one side and a 12-foot wide multiuse trail on the other. The roadway will include pedestrian and street lighting, street amenities (landscaping, benches, trash cans, etc.), and local area art; it will also include new water, sewer, and storm utilities."
STP,2,Auburn,East Valley Highway Widening,1050000,PE/Design,Corridor,Yes,17,22,9,7,5,,5,65,"The project will improve E Valley Highway (EVH) from south of the East Valley Access Road (EVAR) intersection in Pierce County, north to the Lakeland Hills Way (LHW) intersection in King County. The project scope includes intersection improvements, the addition of a separated non-motorized trail, additional northbound and southbound through lanes, center turn lane to support existing and future development, illumination, storm drainage improvements including replacement of a roadside ditch with a closed stormwater system, relocation of utility poles, and installation of a new dynamic message sign. The project will increase the vehicle capacity of the corridor, accommodate non-motorized users, and improve safety. This request is for preliminary engineering (PE) funding that includes design and environmental permitting. The City is prepared to begin when grant funds are available."
STP,3,Bellevue,Eastrail to NE Spring Boulevard Trail Link,4900000,Construction,Corridor,Yes,26,21,8,7,5,,5,72,"The Eastrail to NE Spring Boulevard Trail Link project will construct a critical 850-foot-long nonmotorized trail linking the north-south ""Eastrail"" (the Eastside Rail Corridor pedestrian bicycle trail under development by King County) with the new east-west Spring Boulevard separated pedestrian-bicycle path. This Trail Link will include a 12-foot wide, hard surfaced facility that is anticipated to include trail head treatments, wayfinding, lighting, and natural storm drainage."
STP,4,Bellevue,Mountains to Sound Greenway Trail (142nd Avenue SE to I‐90 Nonmotorized Overcrossing at 150th Avenue SE),4673000,Construction,Corridor,No,15,18,7,6,5,,5,56,"As part of the Mountains to Sound Greenway (MTSG) non-motorized trail system starting in Seattle and extending beyond Snoqualmie Pass, this project will construct over 2,200 feet of separated at grade multi-use trail on limited access right of way immediately south of Interstate 90 (I-90). The project starts just east of 142nd Place SE, runs parallel to the north side of SE 36th street, and ends adjacent to the pedestrian/bicycle overcrossing of I-90, immediately west of 150th Avenue SE.  In general, the design will include a 12-foot wide, hard surface facility, trailhead treatments, wayfinding, landscaping, lighting, natural storm drainage, and access to the local street network, as well as local and regional transit services."
STP,5,Bothell,Bothell Way NE Multimodal Improvements Phase 1,5480000,Construction,Corridor,Yes,18,23,8,7,8,,4,68,"The project consists of mobility improvements on Bothell Way NE from Reder WA to 191st ST NE. This project will widen 2/3 lanes to 5 lanes, including signal improvements, protected bicycle lanes, sidewalks, retaining walls, storm drainage, utility work, illumination, ITS and adaptive signalization, landscaping and wetland mitigation. This project also includes transit improvements such as transit prioritization and transit stop amenities. This project will complete the missing link of the corridor for Community Transit's expansion of the SWIFT BRT Green Line."
STP,6,Bothell,Bothell Way NE Multimodal Improvements Phase 2,5000000,Construction,Corridor,No,20,24,8,7,8,,4,71,"The project consists of widening Bothell Way NE. This project will widen 2/3 lanes to 5 lanes, including signal improvements, protected bicycle lanes, sidewalks, retaining walls, fish passage culvert, utility work, illumination, ITS and adaptive signalization, landscaping and wetland mitigation. This project also includes transit improvements such as transit prioritization and transit stop amenities. This project will complete Phase 2 of the missing corridor link for Community Transit's expansion of the SWIFT BRT Green Line from Bothell Regional Canyon Park Growth Center and connections to Bothell Transit Hub."
STP,7,Fife,Port of Tacoma Road Phase 2b: 20th Street East,4000000,Construction,Corridor,No,15,23,7,4,8,,3,60,"Improve 20th Street E couplet to complete Port of Tacoma Road project; includes new signals and ped crossings at 3 intersections, completion of sidewalks, and connection to ADA pedestrian compliant bridge crossing of I-5."
STP,8,Kent,Meet Me on Meeker - Thompson Ave to Interurban Trail,4757500,Construction,Regional Growth Center,Yes,26,25,3,7,6,,5,72,"Constructs a multi-modal promenade along the south side of West Meeker Street that
includes a two-way, separated bikeway and sidewalk with buffer and amenity zones. On the
north side of West Meeker Street, a widened sidewalk and buffer zone will be included west
of Madison Ave. Further enhancements include curb bulb-outs, on-street parking, enhanced
pedestrian crossing, a raised mid-block crosswalk at the Interurban Trail, pedestrian
amenities, and a new roundabout with separated bike lanes at the corner of Lincoln Avenue
and West Meeker Street. Improvements will accommodate planned transit needs in the
corridor."
STP,9,King County Metro,Metro Route 36 Improvements,3000000,Construction,Corridor,No,6,16,8,2,5,,3,40,"Design and construct transit speed, reliability and access improvements along Metro Route
36, an electric trolley bus route operating between Othello Link Light Rail Station and
Downtown Seattle (12th Ave S and S Jackson St) via Beacon Hill."
STP,10,Kirkland,108th Avenue Transit Queue Jumps,1500000,ROW,Corridor,No,9,23,5,4,5,,5,51,"Widen the roadway to add a northbound transit only lane on 108th Ave NE. Phase 1 will be
from NE 62nd St to just north of NE 68th St and Phase 2 is from NE 53rd St to NE 60th St.
Install a new traffic signal at NE 60th St / 108th Ave NE and modify the existing signal at NE
68th St to accommodate the new lane and allow transit signal priority. Replace existing bicycle
lane and sidewalk on the east side of 108th Ave NE with a new protected bicycle lane and
pedestrian facilities."
STP,11,Kitsap County,"Ridgetop - Mickelberry to Myhre, ROW Phase 1",5200000,ROW,Regional Growth Center,Yes,20,22,5,6,5,,4,62,"ROW Phase 1 will acquire properties and easements for the eastern portion of the Ridgetop –
Mickelberry to Myhre project in the vicinity of the Ridgetop Blvd. and Myhre Rd. intersection.
The Ridgetop – Mickelberry to Myhre project will widen the roadway to four travel lanes with
divided median, access control, and intersection improvements. Reconstruct and widen
sidewalks with upgraded ADA facilities. Add bike lanes in both directions. The project will
explore low stress bike lane designs such as raised bike lanes. Reconstruct the intersections
at Mickelberry and Myhre. U-turn capabilities at intersections are anticipated to support
access management and traffic flow. The project will explore protected intersection designs
for pedestrians and bicycles. A new mid-block intersection will be evaluated to reduce
impacts to the Myhre Rd. intersection and provide an additional pedestrian crossing point.
East of Myhre, a 2nd eastbound lane and uphill bike lane will be added to the vicinity of the
new Sid Uhinck Drive alignment."
STP,12,Lynnwood,42nd Avenue W Improvements,5000000,Construction,Regional Growth Center,Yes,27,23,4,5,4,,4,67,"The project will complete a new grid street in the heart of Lynnwood’s Regional Growth Center (Segment #1: Alderwood Mall Boulevard to 196th Street SW). This project is part of the City's goal to take the existing 600-foot “superblocks” and divide them into more urbanscale 300-foot blocks, to provide access to future low/mid-rise development and multi-modal transportation. The Sound Transit light rail station (opens in 2024) is located a short distance from the project. The project is one of the primary routes to access the station. The street cross section includes two travel lanes, bicycle sharrows, on-street parking on both sides of the street, wide sidewalks, lighting, with streetscaping and urban design features. Infrastructure improvements include sidewalk, curb, gutter, landscaping, hardscaping, illumination, traffic signals, retaining walls, utility improvements, channelization and signing. Traffic signals will be installed at Alderwood Mall Boulevard and 196th Street SW."
STP,13,Pierce County,Canyon Rd. E. (72nd St. E to Pioneer Way E. ),2000000,PE/Design,Corridor,No,9,23,7,5,8,,4,56,"Widen and reconstruct the roadway to accommodate a four-lane facility with paved shoulders,
curb, gutter, and sidewalk. The work will include illumination, interconnect, an enclosed
drainage system, storm water flow control and runoff treatment facilities, retaining walls,
stream relocation/enhancements where needed, and culvert improvements."
STP,14,Port of Seattle,SR 509 Extension Project Stage 2 (Final Stage) Local Commitment,5480000,Construction,Corridor,No,13,24,5,5,10,,5,62,"The project completes a missing link in the regional highway system by extending SR 509 from existing S. 188th Street interchange to 24th Avenue S. interchange in SeaTac Regional Growth Center. Grant Funds will be applied to the following project elements:  1. Four lane new expressway from S. 188th Street to 24th Avenue S. 2. Reconstructed SR 509/S. 188th Street  interchange with addition of south ramps and sidewalk through interchange area. 3. SR 509/S. 160th Street interchange ramp terminal intersection roundabouts with sidewalk through interchange area. This element is included to mitigate future level of service F conditions from additional expressway traffic. 4. This stage of the project also extends an acceleration lane on southbound Interstate-5 from SR 516 to S. 272nd Street Interchange to add capacity for traffic entering from SR 509. The project also includes extension of the Lake to Sound Trail, already under construction under a separate contract. The Trail lies adjacent to the new SR 509 in SeaTac then turns south at Des Moines Creek Park to connect to existing Des Moines Creek Trail. A previous stage of SR 509 expressway connects Interstate-5 to 24th Avenue S. and is already under construction."
STP,15,SeaTac,Airport Station Area Pedestrian Improvements,4500000,Construction,Regional Growth Center,No,17,21,9,7,7,,4,65,"The project will construct safety and mobility improvements for people walking, biking, and
using transit around the SeaTac Airport Station Area, which is located within the SeaTac City
Center. The project improves four street segments and two intersections."
STP,16,Shoreline,"State Route 523 (N/NE 145th St) Aurora Ave N to I-5, Phase 2 (Corliss Ave to Wallingford Ave)",5480000,ROW,Corridor,No,11,22,8,5,5,,4,55,"The 148th Street Non-Motorized Bridge project (STIP: SL-25) is a new pedestrian/bicycle
bridge spanning Interstate 5 (I-5) in the proximity of N 148th Street in Shoreline, WA and will
serve as a key component in the City's bicycle/pedestrian network. The finished nonmotorized
bridge will include a bridge span with landing and ramps on the east-side of I-5 that
connects users to and integrates with a new regional high-capacity transit center with light
rail and bus service. The west-side of I-5 will include ramps/landing and a shared-use path
connecting to 1st Avenue NE."
STP,17,Shoreline,148th Street Non-Motorized Bridge (Phase 2),5480000,Construction,Corridor,No,10,21,8,6,6,,4,55,"This grant request is for ROW Acquisition for Phase 2 (SL-16B, Corliss to Wallingford Ave) of
the SR-523 (N/NE 145th St) Aurora Ave N to I-5 project. Project improvements require ROW
property acquisition - small, partial property acquisitions, and full-property acquisition.
145th Street is the west leg of a major east/west regional corridor and forms the city
boundary between Shoreline and Seattle. This 145th Corridor project connects to a new
regional high capacity transit center (Sound Transit “Shoreline South/148th Station”) with light
rail and bus service as well as connections to the regional bike trail system."
STP,18,Snohomish County,North Creek Regional Trail Phase 2,5000000,Construction,Corridor,No,7,18,6,6,6,,5,48,"The project proposes to construct Phase 2 of North Creek Regional Trail between Waxen
Road and 183rd St SE (North Creek Park). This segment will be approximately 0.78 miles long,
paved, and designed to meet current ADA standards and non-motorized standards including
AASHTO and WSDOT Design Manual. The trail will primarily be designed as a separated trail
and a small portion (approximately 100') at the northern end will be designed as a side path
to keep people biking and walking away from horizontal and vertical obstructions. Please see
the attachment 1_Typical Sections. This project will also include a 90 foot pre-fabricated
pedestrian bridge and a fish passable culvert under Waxen Road."
STP,19,Tacoma,Puyallup Ave Transit/Complete Street Improvement,5480000,Construction,Corridor,No,23,22,5,7,5,,5,67,"The Puyallup Ave project is 1.2 miles extending from Portland Ave to S. C Street, including the
Portland Avenue intersection. The project scope includes a complete reconstruction of the
roadway with concrete pavement, complete street elements including bike lanes,
sidewalks/curb ramps, bulbouts, crosswalks, signals/APS and other ITS elements, lighting,
landscaping, bus stops, parking, other street amenities, improved connections to regional
transit services and active transportation facilities, upgraded utilities, and a shared HOV/transit
lane."
STP,20,WSDOT,SR167 Completion Project- Stage 2 (Final Completion),5480000,Construction,Corridor,Yes,15,27,8,6,10,,5,71,"This project will reconstruct the southbound I-5 to westbound SR 18 off-ramp to improve
capacity and serve both eastbound and westbound SR 18 traffic, removing the existing
southbound I-5 to eastbound SR 18 loop ramp, and construct the southbound I-5 to SR 161
off-ramp. In addition, the project will upgrade intersections by replacing the S 356th St./SR
161/16th Ave. S intersections with roundabouts and by widening and realigning the east leg
of the SR 161/Milton Rd. S intersection. Work will include updating illumination, drainage,
stormwater, pedestrian and bicycle facilities and constructing seven fish passable structures,
with environmental impacts being mitigated as needed."
STP,21,WSDOT,I-5/SR 161/SR 18 Triangle Interchange Vicinity - Improvements,5480000,Construction,Corridor,No,13,17,4,6,4,,5,49,1. Construction of the final segment of new four lane alignment of SR 167 from SR 161 Meridian Avenue E in Puyallup to Interstate 5 in Fife. 2. Completes a missing link in the regional trail system beginning in the Puyallup Downtown Regional Growth Center from Puyallup Riverfront Trail to Interurban Trail in Fife. 3. Includes new interchanges at SR 161 and Valley Avenue and completes the diverging diamond interchange at I-5. 4. Extensive wetland mitigation throughout the Wapato Creek Watershed. 5. Adds capacity on existing SR 167 from SR 161 to SR 410 to accommodate additional traffic volume.
